Yorum,Duygu
İndirimle aldım.Gayet yeterli özellikleri fiyatına oranla.Tavsiye ederim,1
iyi bir telefon ozellikleri fiyatina gore mukemmel,1
"benim için batarya ömrü önemli sabah 800 dan akşam 2400 geldiğimde batarya %72gösteriyordu .
17 saatte %28 sarj harcaması benim için bir ayrıcalık. her şey için teşekkürler. ben çok memnunum.",1
Telefon güzel boyutu tam olarak ıphone 8 plusum kadar ama ekranı çok daha büyük . Anneme hediye olarak aldım ve bi tanıdığım abime de bu cihazdan aldırdım oda gayet memnun 1 aylık kullanımdan sonra. Tavsiye ederim,1
"Telefonu kardeşim için almıştım, fiyatına göre beklentileri karşılıyor. Pubg indirdim denemelik en düşük ayarlarda oynatıyor.",1
"Beklediğimden çok daha iyi geldi telefon. şarjı gerçekten bitmiyor. günde yaklaşık 4 saat netflix izliyorum yalnızca %3,4 azaltıyor. oyun desen aynı şekilde. ekran da güzel. Beklediğimden daha kaliteli geldi. arka kapak pilastik hissi vermiyor o da artı bir yön. parmak izi güzel ve hızlı çalışıyor. kamerası da bence yeterli. bu fiyata alınacak en iyi telefon net.",1
Urun iyi gibi 5 gün oldu alalı batarya 5000 mah degil gibi daha önce 4000 mah lik bir telefonum olmuştu ayni kullanımda şarj 5 gun gidiyordu bunda 3 gun gitti. Bu fiyata alınabilecek ürün ytd.,1
Güzel urun sağlam açılmamış ambalajı da teslim edildi 1 günde,1
Hız ve Telefon Süper Teşekkürler.,1
Hız ve Telefon Süper Teşekkürler.,1
"Tavsiye ediyorum, güzel telefon . Dayıma aldık , sonra bir tane daha sipariş verdik . Şarjı 5000 mA olduğu için uzun gidiyor. Başarılı",1
Bu yorumları yazarken 1 haftaya yakındır ürünü kullandığımı belirteyim.Öncelikle ürünün marka değeri olduğunu unutmayın evet aynı fiyatlara daha çok performans sağlayacak telefonlar var ama elinizde patlama ihtimali ile birlikte geliyorlar.İkinci el piyasasını da hesaba katmak gerekir.Bence üç kuruşa beş köfte bir cihaz yani kesinlikle ne vaad ediyorsa yerine getiriyor. ilk şarjı bitsin diye 1 gün bekledim %40 falandı geldiğinde. Oyun oynamıyorum zaten oyun oynayacaksanız gidip bilgisayar toplayın o fiyatlara mobil oyun muhabbetini anlamış değilim dolayısıyla tüm sistem kaynakları oyun harici tüm kullanımlara fazlasıyla yeter aktif mail sosyalmedya youtube kullanımı için gayet iyi. Fotoğraf merakım yok ama ortalamanın üstünde bir kalitesi var arka kameranın.Özetle PUBG gibi oyunlar harici kullanımlar için ideal şu an ekranı tek elle kullanmak için biraz fazla büyük yüzüklü kılıflardan almanızı tavsiye ederim. Kargo hızı 1 hafta sonrasını göstermesine karşın 2 günde teslim edildi. 32gb lık sd kart ile geldi. Fazlasıyla memnunum teşekkürler Samsung TR,1
Harika  bir cihaz.ambalajlama süper,1
Samsung Kalitesine güvendim tamdı ürün gelince ve kullanmaya başlayınca anlıyorsunuz. Çok zarif bir tasarım.Ambalajı gayet sağlam yapmışlar kutu içinde kutu ile göndermişler yani paketleme özenliydi.Kutu içerisinde 32 gb hafıza kartı var.özellik olarak orta bir kullanıcı için fazlası ile işinizi görür.tavsiye ederim,1
Guzel,1
eğer bir samsung kullanıcısı iseniz kesinlikle şaşmayın samsung dan başka bir telefona da bakmayın...telefonum çok eskidiği için bakınmaya başladım ne alsam falan diye herkezin önerdiği huawei modellerine bakmaya başladım.p 20 lite p smart 2019 y7 2019 falan bir türlü ısınamadım telefonlara daha sonra gezinirken nette m20 cihazının bana uygun olduğuna karar verdim ve hiç düşünmeden sipariş verip aldım ve iyikide almışım çok da memnunum.bataryasi için ileri geri konuşan arkadaşlar olmuş ben gece gündüz ful açık ve çoğu zaman nette gezmeme rağmen 3.güne sırtını yaslıyor daha ne olsun.bence samsung vazgecilmezim.,1
"Ürünü gerçekten güzel. 3,5 gün şarjı gidiyor. idare etmek isterseniz 4 günde kullanabilirsiniz. Ben şahsen memnun kaldım.",1
hediyeler için teşekkürler,1
Daha yeni teslim aldim. Deneme aşamasında,1
"Ürünü 2 aydır kullanıyorum.
+ gördüklerim; Ekranı tam ekran şık ve kullanışlı, Bataryası çok iyi gidiyor sırf bu özellik için bile tercih edilir, donma yavaşlama problemi yok, genel olarak sorun çıkarmadı.
- ekşi yönleri; batarya nedeniyle biraz kalın ve ağır ama rahatsız edecek kadar değil, ekran aydınlatmasının otomatik özelliği biraz kararsız çalışıyor, dokunmatik ekran tam ekran olduğundan tek elle hem tutup hem dokunmak güç el kenarlara değdiği için istenilen yere dokunamıyorum tek el modunu açmadan, Kameranin gece modu cok kotu flash patlayinca sacma resimlsr cekiyor dis isiksiz mekanlarda, bu fiyatlara genel durum bu gerci. Genel olarak tavsiye edilir",1
Ürün elime ulaştı teşekkür ederim.,1
"F/p ürünü ama daha test edemedim
İnşallah parasını hakeder",1
Batarya kalitesini göreceğiz kullanınca,1
Güzel telefon teşekkürler,1
bu fiyata şuanda alinabilir en iyi telefon bataryası için aldım ben 2 gün rahat gidiyor kalitesi zaten samsung pişman olmayacağınız bir telefon.,1
Hem telefonun fiyatıyla performansa oranı gerçekten başarılı bir telefon ve telefonun 2 günde elime ulaşması ayrı başarılı teşekkürler Hepsiburada 👋,1
Çok memnunum satıcı 32 gb hafıza kartı yanında hediye olması çok güzel. Bu fiyata bence alınacak en iyi telefon şarj ve hız çok iyi. Samsung kalite.,1
"5000 Batarya
32GB + 32GB firma hediyesi hfz kartı 
Exynos Octa 7885 1.77 8 çekirdek işlemci işe güçlü bir sisteme sahip 6’30 ınc ekran 3GB Ram bence emsallerine göre çok iyi ayrıca Samsung TR garantisinide 
Unutulmamalı  
Tam şarjdn sonra Aktif olarak 3 gün kullanıyorum  tavsiye ederim",1
Telefon gerçekten fiyatına göre hem kamera hem özellikle batarya konusunda muazzam hiç düşünmeden alınabilecek bir cihaz.,1
"Sorunsuz teslimat.
Hafıza Kartı hediyesi güzel oldu.
Teşekkürler.",1
"Güzel telefon. Özelliklerine bakıldığı zaman umduğunuz hız ve şarj süresini karşılıyor. Şık ve rahat bir telefon. eşime aldım, Gayet memnun kaldı. ",1
3GB RAM biraz yetersiz gelebilir ama onun dışında bu fiyata çok çok iyi bir telefon. 1 hafta teslimat süresi vardı ama 2.gün geldi. ayrıca samsung türkiye ye 32gb  hediye hafıza kartı için teşekkür ediyorum.,1
"telefon bence tam fiyat performans ürünü 2 adet aldık, arka kamerasının biri biraz kötü ama fiyatına göre gayet iyi hende samsung garantisi altında bence alınabilir.",1
Tşkrler Ürün kalıtelı kargo hızlı ,1
Çok güzel bir telefon. Mükemmel gönderim. Teşekkürler,1
hizli bir telefon standart samsung gibi buda hafizasi dolunca kasmaya baslicak ama begendim ben 5000 mah bataryasini tabi :),1
"Telefon güzel. Fiyatının hakkını fazlasıyla veriyor. Samsung Türkiye'den aldım siparişim de sorunsuz geldi. Paketleme çok sağlamdı, Samsung kutusu içinde balonlu naylonlar ile desteklenmişti. Açıklamada görememiştim ama 32 GB sd kart da hediye olarak geldi.",1
"Ürün fiyatına göre güzel, kargo beklenenden önce geldi,memnun kaldık",1
Excellent phone and good price.,1
öncelikle çok şık görüntüsü fiyatının çok üzerinde yüz tanıma parmak izi gayet iyi şarjı söylememe gerek yok zaten benim alma sebebim batarya idi 2 gün tereddütsüz kullanım sağlar,1
Güzel ürün. 5000 mah batarya kalitesini kullanınca göreceğiz,1
Teşekkürler,1
"Saıcı Samsung olan alışverişimden memmun kaldım. Hepsiburada aracılığı ile sorunsuz sıkıntısız teslimat süreci. Kalite konuşuyor. 

Ürüne gelince, kullanmanız gerekiyor. O zaman ancak kaliteyi hissedersiniz.
Nano Sim, Hafıza Kartı Desteği, Açılmayan arka kapak, Yeni nesil şarj sistemi. 
Kamera gerçekten kaliteli, süper ötesi bir şey beklemeyin bu fiyata.
Satıcı samsungdan alırsanız 32 gb hafıza kartı hediyesi ile geliyor.

Telefon güzel. Kullanımı rahat. Bu fiyata değer bir telefon. Samsung kalitesi",1
"Uygun fiyat,  hızlı gönderim.   Ayrıca hediye olarak gönderilen hafıza kartı için de teşekkür ederim. Tavsiye ederim.",1
Telefon harika kamerası bataryası çok iyi. Günlük kullanım için ideal bir telefon. Hepsinden önemlisi Hepsi buradanım kalite güven ve hızlı kargo hizmeti. Mikemmelll,1
Hem hızlı gonderi hemde fiyat/performans ile herkese gönderirim. Ayrica samsung turkiye garantisi onemli. ,1
Kim ne derse desin batarya  mükemmel bugün sabahtan beri kullanmama karşı saat 00:15 hâlâ %55 ve sürekli inceliyorum ayrıca gayet hızlı gayet net foto çekiyor eski telefonları satıp iki tane aldım içinden birde hafıza kartı hediye geldi teşekkürler demekten başka bir şey bulamıyorum hem samsung türkiye hemde hepsiburada teşekkürler.,1
"Çok çok  iyi, iyi ki almışım.",1
Mukemmel bir urun beklentim dusuktu ama son derece kullanisli bir urun.,1
iPhone 7 kullanıcısıyım ilk defa beğendiğim bir ürün diyebilirim bu fiyatlara,1
Telefon mükemmel fiyatı gayet uygun kargosuda sorunsuz ve hızlı düşünmeden alın derim ,1
telefon fiyatına göre çok güzel.kamerası ve bataryası mükemmel.,1
İndirimli alınan fiyatına göre çok güzel ,1
"Öncelikle 1,5 günde gönderdikleri için teşekkür ederim.Telefonu eşim için anneler günü hediyesi olarak aldık,ilk izlenimlerimiz orta sekmen olmasına karşılık çok güzel beğenmeyen kişiler sanırım 8-12 bin liralık telefonla kıyaslıyorlar bu paraya alınacak en iyi telefon bence alan pişman olmaz SAMSUNG batarya olarakta kendini bayağı aşmış.",1
Ürünü eşime aldim. Kamera gayet iyi. Fiyat performans olarak gaYet guzel. Buradaki yorüm lara bakarak aldım pişman olmadım. Herkese tavsiye ederim.,1
güvenilir satıcı ve hızlı kargo,1
Sosyal medya ve günlük işlerde kullanması için babama aldım. Yanında 32gb hafıza kartı gönderdiği için satıcıya teşekkür ediyoruz. Ön kamerası çok iyi çekmiyor ama arka kamerası muazzam. Kullanımı akıcı. Henüz herhangi bir eksi yönünü görmedik. Bu fiyata alınabilecek en iyi telefon olduğunu düşünüyorum.,1
Anneler gününe hediye için aldım. Siparişin ertesi günü ürün elime ulaştı. Gayet güvenilir paketlenmiş. Ayrıca 32 GB hafıza kartı hediyesiyle geldi. Samsung Türkiye ve Hepsi Burada'ya çok  teşekkür ediyorum.,1
Ben esim icin mavi rengini aldim rengi parliement mavisi esim bayildi biraz agir ekrani ve ses kalitesi yuksek parasina gore telefon alinabilir ,1
bu telefondan önce j7 prime kullanıyordum... m20 kullanımı daha güzel ve keyif veriyor insana.. tasarım harika performans harika...oyun düşkünü olmayan birisine gayet kullanışlı ve zevk verici... piyasada özellik olarak aynı daha pahalı cihazlara para vermeyin derim...ürün gayet güzel bir şekilde paketlenmiş şekilde elime ulaştı...teşekkürler hepsiburada...,1
"Ürün Fiyatına Göre Beklenenin Çok Çok Üstünde , Kötü Yorumlara Kulak Asmayın",1
Tam bir fiyat performans ürünü bu fiyata böyle bir ürün bulamassınız j7 prime ve a7yle yarışıyor Kurye tam zamanında getirdi ,1
Telefon Çok Güzel Hiçbir Problemi Yok Ama Baş Parmağım En Üstüne Yetişmiyor :)),1
cihaz bu paraya müthiş gerçekten hi düşünmeye gerek yok,1
Fiyatına kıyasla başarılı bir cihaz hızlı gönderim ve samsung güvencesi. Tavsiye ederim.,1
"telefon şahane,günlük işlerinizde yarıyolda bırakmayacak bir telefon,5000 mah pil ile rahat 2 günü çıkarıyor, hızlı şarjıda unutmamak gerek
aktif kullanımda sıkıştrmama rağmen telefonu 1,5 günü çıkarıyor(şaşırttın beni samsung😂)
kamera ön ve arka çekimleri iyi,profesyonel çekim istiyorsanız gidip kendinize 3-5 bine fotoğraf makinesi alabilirsiniz
ama telefonun kamerası genel olarak tatminkar
dış kasa plastik ve kaygan biraz dikkatli tutmak gerek elde
hafif kalın telefon ama o kadarda olsun 5000 mah canavar yatıyor içinde 😂
pubg ve asphalt oyunlarını en yüksek grafik değerlerinde sorunsuz oynadım,çok çok nadiren de olsa pubg de kasıyor ama endişelenecek kadar değil
KISACASI TAVSİYE EDERİM...",1
Samsung m20 32 gb aldim urun gayet iyi hatta mukemmel tesekkurler .,1
samsung turkiye magzasindan annem icin aldım. gercekten guzel telefon. islerinizi fazlasiyla gorur. hediye 32gb hafiza karti icin de tesekkurler.,1
"Telefonu babam için aldım. Çok hızlı bir şekilde elime ulaştı. Başlangıç - Orta kullanım arası bir cihaz. Bataryası, işlemcisi ve kamerası yarı profesyonel kullanım için ideal. En güzel yanı telefonun makyajının kaliteli ve şık olması. Ekran canlılığı çok iyi. Dediğim gibi çok yüksek beklentileri olmayan kullanıcılar için güzel telefon. Teşekkürler",1
"Ürünü hediye olarak aldım. Bir saat önce elime geçti ve kullanma şansım olmadı ancak kısa sürede kargolanmış olması, hediye 32 gb hafıza kartının paket içeriğinde mevcut olması tatmin edici. İnşaallah telefon da kullanılmaya başlandığında sorunsuz çalışır ve tatmin edici bir performans ile karşılaşırız. ",1
"Lansman satışlarında aldım. İlk çıktığı günden beri kullanıyorum. Ne aradığınıza göre değişen bir telefon. Batarya mükemmel. Kamera çekimi güzel. Ekranın bazen algılamada sıkıntı yaptığı oluyor. Onunda kaynağı işlemcinin çalışma yoğunluğu galiba. İşlemci yoğun çalışmada çok ısınıyor. Yinede bir hafta sonu tatilinde sürekli navigasyon açık olarak, sürekli video kamera açık, internete bağlı halde akşam 11:30 a kadar kullanıyorum. Şarjım o saatte yüzde 40 kalıyor. ",1
Beyler telefon harika aldim yeni gecti elime mukemmel ayrica 32 gb hafiza karti icinde tesekkur ederim cihaz on numara hic kacirma al derim sana,1
"arkadaşıma ve eşine  1 er  tane aldık çok başarılı 
paletleme , teslimata kadar herşey süper
cihaz fiyatına göre çok başarılı, daha iyi müzik kalitesi için daha güzel bir kullaklık alabilirsiniz",1
"hızlı teslimat, özenli paketleme, 32gb hafıza kartı hediyeli gayet güzel bir ürün.Alırken tereddütte kalmıştım ama şu an için memnunum teşekkürler :)",1
Sorunsuz iyi cihaz,1
"Bir gün içinde  teslimat,  özenli paketleme,  ürün  oldukça  güzel.  Teşekkürler. ",1
Bu fiyata böyle telefon bulamazsınız. Kamera iyi hız iyi şarj harika yanında 32 gb hafıza kartı ile şuan toplam 64 gb hafızam var gayet yeterli ben 2 gündür kullanıyorum herhangi olumsuzluk görmedim alacak niyeti olan varsa gönül rahatlığı ile alabilir. Kargo kapıma değil apartman girişine bırakmış öyle bir problem yaşadım ama kargoyu şikayet ettim yardımcı oldular.,1
"Tam bir fiyat fayda ürünü, herkese tavsiye ederim ürün harika",1
"Telefon gayet güzel, beğendim.",1
Bataryası çok iyi alın pişman olmazsınız ,1
fiyatına göre başarılı telefon korgo 5 günde elime ulaştı,1
ben halen s3 mini kullanıyorum 6 yıl oldu hiç tamir görmedi eminim bu da mükemmeldir eşime alıyorum inşallah utandırmaz bizi,1
biriz agir oda bataryasi buyuk ondan yoksa super,1
"Bu fiyata bu tasarım, bu özellikler, bu batarya ve bu marka. Harika... Teşekkürler Samsung. Teşekkürler Hepsiburada.",1
telefon fena değil almak isteyenlere tavsiye ederim.fiyat olarakta gayet iyi bence,1
teşekküeler hepsi burada gönul haratligiyla aliş veris yapabilirsiniz sorunsuz,1
İkinci kez aldım. Sadece pil için bile tercih edilebilir. Şarj 1 hafta gidiyor. Tam bir anne-baba telefonu.,1
Fiyat performans canavarı!,1
"hızlı  ve güvenli teslimat.
Telefon performansı çok iyi. Telefon açıklamasında verilen bilgiler aynı.
",1
Fiyatına göre gayet başarılı telefon bir tane m10 almıştım bir tanede  arkadaşıma m20 aldım ikiside gayet güzel tavsiye ederim ,1
Bataryası  mükemmel. Diğer özellikleriyle orta segment olarak çok güzel. Tavsiye ederim.,1
Telefondan çok memnun kaldım. tam fiyat performans telefonu. teşekkürler Hepsiburada.,1
Güzel telefon gece çekimi çok iyi şarj hızlı doluyor gec bitiyor,1
arkadaşlar olumsuz yorum yazanları ciddiye almayın anneme aldım kıskandım o kadar diyorum anlayın artık hiç çekinmeden alın hem çok şık hem çok iyi ,1
"Ürün sitede yazılı gönderim süresinden önce gönderildi. Kutu dışı ve içinde herhangi bir sıkıntı yok. Gayet güzel paketlenip elime ulaştı. 32gb kart hediyesi için ayrıca teşekkür ederim. 
Ürün f/p açısından en ideal ürünlerden biridir. Almayı düşünen var ise, şu an samsung garantili en uygun fiyat hepsiburada da.",1
ekranı çok güzel. kargo hızlı. en uygun fiyat,1
"Fiyatına göre harika bir telefon, kesinlikle tavsiye ederim.",1
ürünün paketlemesi son derece özenli ve güzeldi. ürün de gayet güzel ve şık. samsung kalitesini hissettiriyor. şarjı çok iyi. piyasada 5000 mah lik başka telefon yok zaten. fiyatına göre alınabilecek en güzel telefon.,1
"Fiyata göre perfonmans çok iyi ,yeni nesil şarj girişi hızlı şarj.Takılma yok,hızlı.Mağaza hızlı şarj yaptı ve güzel paketlenmişti.Teşekkürler",1
Kasma donma yapar dye cok korktum ama gerçekten zerre takılma donma yok parasını sonuna kadar hak ediyor ben eşime aldım kamerası gayet yeterli karanlık resimlerde çektim 7plus la neredeyse aynı ben tek eksik olarak streo hoporler görüyorum ekran gayet canlı ve parlak bir amoled kadar olmasada bariz bir fark yok gayet yeterli kargolma paketleme herşey süper içerisinde sevk faturası cıktı heralde fatura yerine geçiyor :) satıcı cok hızlı gönderim yaptı ertesi gün elimde idi syglr,1
Kesinlikle fiyatının çok üstü bir performans telefonu :),1
Telefon baya iyi fiyatına göre gönül rahatlığıyla alabilirsiniz.,1
Bu fiyat ile bu özellikte alınabilecek çok iyi bir telefon.,1
"Arkadaşlar ürünü alalı 1 ay civari oldu. Gündelik işler için kullanirim pek oyun oynamam, kamerası iyi olsun derseniz tam bir fiyat-performans ürünü tavsiye edebilirim. 
Pubg oyununu düşük ayarlarda takilmadan 25 dakika civarı rahat oynadim yüzde 7-8 şarj gitti.
Pubg orta ayarlarda oyun çok akıci değil ama idare eder.
Yüz tanıma ve parmak izi özellikleri gayet yeterli hızda.
Kamerası bu fiyat segmentindeki bir çok telefona göre iyi buldum.
Telefon genel kullanimda çok hızlı hiç takılma yok.
Kargo 2 günde geldi sağlam bir paketleme yapmışlar. İçinden 32 gb hediye hafiza karti çıktı. 
Fatura gelmedi ben e- fatura seçeneğini işaretlediğim için e posta adresime atmışlar ordan aldım.
Bunları telefonu kullandıktan bir ay sonra yaziyorum...",1
"Telefonu anneme aldım. 5000 mah bataryası çok çok iyi. Güzel, kullanışlı, şık bir telefon.",1
Hızlı kargo güzel ürün teşekkür ederim ,1
Bence tek eksiği analiz ekran ve nfc,1
"Ürünü Samsung Türkiye mağazasından satın aldım. Yanında hediye 32 gb harici sd kart ile birlikte geldi. Kargo ve paketlemesi güzeldi. Hızlı bir şekilde elime ulaştı. Bence tereddüt etmeden alınabilecek bir telefon. Fiyatı, sunduğu yenilikler ve özelliklerle tam anlamıyla fiyat performans ürünü. Çift kamerası ve infinitive v sonsuz ekranı ile çok yenilikçi bir tasarımı var. Gövdesinde plastik kullanıldığından telefonun premium hissi vermediğini söyleyenler olmuş. Bu segmentteki rakiplerinde de genellikle plastik kasa kullanılıyor ve tasarımları M20'ninki kadar iyi değil. Zaten bu telefonda metal çerçeve ve arkada cam bir panel kullanılsaydı fiyatı bu şekilde olmazdı. Güzel tasarımı, plastik kasa olmasını geri planda bırakıyor.  Her anlamda fiyatına göre üst düzey bir telefon olmuş. Aynı segmentteki rakiplerinden daha iyi olduğunu samimiyetle söyleyebilirim. Telefonun arayüzü çok akıcı ve tek elle de kullanımı rahat. 5000mAh batarya telefonun biraz kalınlaşmasına sebep olsa da şarj konusunda çok iyi. Hızlı şarj adaptörü sayesinde şarj olma süresinden oldukça fazla tasarruf edilmiş ve şarj girişinde USB typeC kullanılmış. Ve geniş açı desteği sunan çift arka kamera farklı modlarda gerçekten iyi sonuçlar veriyor. İçine konulan kulaklık klasik samsung kulak içi kulaklık. Yüz tanıma ve parmak izi okuyucu gayet hızlı çalışıyor.  Kısacası bu segmentte ve fiyat aralığında bir telefon almayı düşünüyorsanız tavsiye ederim.",1
"BUGÜN GELDİ TELEFON
HARİKA ÜRÜN
GÖNÜL RAHATLIĞIYLA ALABİLİRSİNİZ",1
Telefon Şahane ,1
"Ürün son derece ideal. İster şarj olarak ister özellik bakımından gayet ideal.  Orta segment bir ürün.  Tavsiye ederim. Pubg oyununu denemek icin yükledim, sorunsuz çalıştı.",1
"Ürünü bir operatör üzerinden kampanya ile aldım. Özellikle benim gibi sürekli seyahat eden insanlar için bataryası cidden tatmin edici. Gündüz fotoğraf ve video çekimleri başarılı. Cihazda gereksiz özellikler yok.Nfc, bixby vs.. Fiyatına göre bence en iyisi.",1
bayıldım 10 yıldız olsa hak eder,1
telefonu eşime aldım. çok beğendi güzel telefon. çok aşırı kullanmıyorsanız şarjı 2 günü geçiyor.oyun  oynamadığımız için onunla ilgili yorum yapamıycam.kamerası da gündüz çekimlerinde iyi.uzun oluşu ele oturmasında sıkıntı yaratmıyor. ihtiyaca ve fiyata göre değerlendirmekte yarar var. biz memnun kaldık.almak isteyenlere tavsiye ederim pişman etmez güzel bir ürün.,1
ürün gayet kullanışlı ve güzel.. ekranı ve kamerası parasına göre çok çok iyi. beğendik.. yanlız benim aldığım kutudan hediye verilen hafıza kartı çıkmadı.. bunun için geri dönüş yaptım ama nerdeyse 2 hafta oldu halen beklemedeyim.. hepsiburada bu konuda biraz ağırdan alıyor gibi.. telefonu almak isteyenler gönül rahatlığıyla alabilir.. ,1
"Aldım 10 gündür kullanıyorum şarj iyi gidiyor ilk gün 2 gün gitti sonra kullanmaya başlayınca 1,5 güme düştü  gayet kullanışlı kaliteli fiyatına göre  süper ve ötesi ben yorumları okuyarak aldım şükür pişman değilim alın tşkler hepsiburada.",1
kardeşim aldı efsane birşey özelikle kamera batarya iddialı,1
1 haftadır kulkanıyorum cihazı gayet memnunum.Şarjı 2 gün gidiyor bazen daha fazla da olabiliyor.Kesinlikle tavsiye ediyorum içiniz rahat olsun telefon güzel.,1
hepsiexpress le 2 günde geldi kamera görünüm hızı çok iyi tasarım güzel bu fiyata en iyi alınacak tlf,1
urun bekledigimden daha iyi cikti cok memnun kaldik..ekran goruntusu harika ayrica telefon cok sik duruyor.. dusunmeden alin derim diger urunlere fazla para vermeye gerek yok,1
Tam bir fiyat / performans cihazı annem için aldık gayet memnun şarjı sıradan kullanımlar için rahat 2- 2.5 gün gidiyor. ,1
"Ürün fiyat kalite olarak değerlendirildiğinde ucuz kalıyor. bence çok kullanışlı ve kaliteli, ne zaman şarj ettiğinizi unutuyorsunuz. Tek bir sıkıntı var. Türk Telekom kullanıyorsanız sistemleri cihazı tanımıyor ve tanımsız İMEİ olduğu için internet servis ayarlarını alamıyorsunuz ve doğal olarak hız problemi yaşıyorsunuz. Saygılar",1
Bu paraya harika bir telefon. Bir yakınıma da aldım. Çok memnunum. Herkese tavsiye ederim.,1
"telefon görünüş itibari ile güzel dün elime geçti. 32gb hafıza kartı hediyesiyle geldi.
",1
"Hayattaki mottom ""ihtiyacım var mı"" olarak seyrediyor. Benim gibi yaklaşık 6-7 senelik bir telefondan (S3 i9300) bu telefona geçiş yapmış biri nasıl olumsuz yorum yapabilir bilemiyorum. Kendimi çağ atlamış gibi hissediyorum. Başına bir şey gelmediği sürece uzun yıllar kullanabilirim diye düşünüyorum. Klişeleşmiş bir sorunun da cevabını vereyim ""neden bu fiyata diğer markalar değil"" ? Öyle çok fotoğraf çeken biri değilim fakat çektiğim fotoğrafların altında captured by çinçançon yazması hiç hoşuma gitmiyor. Kendi içerisinde gelen uygulamalarda zap diye çıkıveren yine ne dediğini anlayamadığım çinçançon reklamları da hiç hoşuma gitmiyor. Olası şebeke sorunları ve stabil olmayan güncellemeler de keza o şekilde. O yüzden akarı kokarı olmayan bir Samsung her zaman işimi görecektir. Ekranı TFT alınmaz demişler iyi ya işte AMOLED yanığı belasından uzak bir ekran olmuş. Ayrıca %50 parlaklık ayarı ile gece gözümü bayağı rahatsız edebiliyor. Renkler de öyle cansız soluk değil. Hiç mi kötü yanı yok, var. Sayesinde 2 yeni derdim oldu. İlki şarj kablosu çok kısa. İkincisi de uygulamaların henüz tam ekran için güncelleme getirmemiş olması. Bazı oyunlar ve özellikle youtube videoları tam olarak ekrana yayılamıyor. Sonuç olarak benden 9/10 luk bir puanı hak ediyor.",1
"Telefonun kasası ekran gövde oranı akıcılığı gerçekten mükemmel, premium bir telefon kullanıyormuşsunuz hissiyatı var ayrıca ekranı cok büyük olacak diye endişe duyuyordum ama tam ele oturuyor tavsiye ederim.",1
Gerçekten çok beğendim 2 gündür kullanıyorum buradan almadım. Çünkü Kargo burada çok yavaş geç teslim ediyorlar kamerası kullanım kolaylığı mükemmel ,1
Çok iyi telefon herkeze tavsiye ederim ,1
Tam bir F/P ürünü tavsiye ederim.,1
"TELEFONDAN DURUP DURURKEN KENDİNDEN DAHA PAHALI TELEFONLARLA KIYASLAYIP PUAN KIRMAYA GEREK YOK. GAYET GÜZEL BİR TELEFON. BENDE 2 HAFTAYA YAKIN ARAŞTIRIP ALDIM. P SMART 2019 İLE TEREDDÜTDE KALMIŞTIM. AMA DOĞRU SEÇİM YAPTIĞIMA İNANIYORUM ÇÜNKÜ HER AÇIDAN ÇOK İYİ. PUANLADIRACAK OLURSAK;
Pil: 5/5
Hız: 4/5
Ekran: 4/5
Tasarım: 5/5
Depolama: 4/5
Kamera: 4/5
",1
"1 aydır kullanıyorum. Diğer yorumları boşverin, bu fiyata mükemmel bir alet şarjı inanılmaz gidiyor 2.5 gün aktif kullanımda hala bitmemiş oluyor, pubg oynuyorum orta grafik ayarlarında sorunsuz ısınmasız oynayabiliyorum, günlük çok fazla bir şeyler twitter'da diğer blog sitelerinde ve internet üzerinde şarj ve performans sorunu yok, kamerası orta ayar mükemmel fotoğraflar çekmiyor, instagram manyağı değilseniz sizi gayet idare eder. ekranı ips olmadığı için eleştirenlere filan bakayın ips bir ekranla yanyana koysanız farkı anlayamazlar, millet anca konuşuyor ama boş konuşuyor israf etmeye lüzum gayet yeterli 3 yıl değiştirmeden kullanabileceğim bir telefon. çok para vermek isteyen almasın kötülemesin, onlar kar odaklı dünyanın birer kölelerine dönüşmüşler.",1
Gayet güzel bir ürün. Fiyatı da çok makul . Samsung nihayet başarılı bir ürün piyasaya sürmüştür,1
"Güzel ürün batarya ömrü gayet iyi normal kullanımda 1,5 gün gidiyor zorlarsanız 2 güne çıkabilir ekran parlaklığı v.b. ayarların düşürülmesi ile beraber.
Şirket telefonu olarak gayet kullanışlı mail kullanımı için gayet iyi geniş ekran ayrıca avantaj sağlıyor.",1
Ürünü alalı bir hafda oldu çok memnunum herkese tavsiye ederim,1
fiyatına  göre şarjı ve performansı güzel hediye için teşekkürler,1
